link_id,name,from_node_id,to_node_id,facility_type,link_type,dir_flag,length,lanes,free_speed,capacity,agent_type_code,geometry
,West 12th Street,20,4099,,1,1,0.070196478,1,60,1800,,"LINESTRING (-111.941206 33.416188 ,-111.939989 33.416204 )"
,West 12th Street,4099,20,,1,1,0.070196478,1,60,1800,,"LINESTRING (-111.939989 33.416205 ,-111.941206 33.416189 )"
,South Maple Avenue,21,20,,1,1,0.099848385,1,60,1800,,"LINESTRING (-111.941208 33.414743 ,-111.941206 33.416188 )"
,South Maple Avenue,20,21,,1,1,0.099848385,1,60,1800,,"LINESTRING (-111.941207 33.416188 ,-111.941208 33.414743 )"
,West 13th Street,21,3862,,1,1,0.069823654,1,60,1800,,"LINESTRING (-111.941208 33.414743 ,-111.942419 33.414729 )"
,West 13th Street,3862,21,,1,1,0.069823654,1,60,1800,,"LINESTRING (-111.942419 33.414728 ,-111.941208 33.414743 )"
,West 13th Street,21,4580,,1,1,0.022083587,1,60,1800,,"LINESTRING (-111.941208 33.414743 ,-111.940825 33.414745 )"
,West 13th Street,4580,21,,1,1,0.022083587,1,60,1800,,"LINESTRING (-111.940825 33.414746 ,-111.941208 33.414743 )"
,East Hudson Drive,34,4624,,1,1,0.165403209,1,60,1800,,"LINESTRING (-111.917123 33.413628 ,-111.914257 33.413561 )"
,East Hudson Drive,4624,34,,1,1,0.165403209,1,60,1800,,"LINESTRING (-111.914257 33.413561 ,-111.917123 33.413629 )"
,South Cedar Street,34,2190,,1,1,0.047050344,1,60,1800,,"LINESTRING (-111.917123 33.413628 ,-111.917064 33.412952 )"
,South Cedar Street,2190,34,,1,1,0.047050344,1,60,1800,,"LINESTRING (-111.917064 33.412952 ,-111.917123 33.413629 )"
,South Cedar Street,34,1668,,1,1,0.072122734,1,60,1800,,"LINESTRING (-111.917123 33.413628 ,-111.917123 33.414672 )"
,South Cedar Street,1668,34,,1,1,0.072122734,1,60,1800,,"LINESTRING (-111.917123 33.414672 ,-111.917123 33.413629 )"
,East Hudson Drive,40,2586,,1,1,0.097021139,1,60,1800,,"LINESTRING (-111.910773 33.413554 ,-111.912455 33.413554 )"
,East Hudson Drive,2586,40,,1,1,0.097021139,1,60,1800,,"LINESTRING (-111.912455 33.413553 ,-111.910773 33.413553 )"
,East 5th Street,41,2191,,1,1,0.085842644,1,60,1800,,"LINESTRING (-111.936672 33.425499 ,-111.938161 33.425496 )"
,East 5th Street,2191,41,,1,1,0.085842644,1,60,1800,,"LINESTRING (-111.938161 33.425495 ,-111.936672 33.425499 )"
,South Forest Avenue,41,3639,,1,1,0.078777636,1,60,1800,,"LINESTRING (-111.936673 33.425499 ,-111.936666 33.424359 )"
,South Forest Avenue,3639,41,,1,1,0.078777636,1,60,1800,,"LINESTRING (-111.936666 33.424359 ,-111.936672 33.425499 )"
,East 5th Street,41,44,,1,1,0.101265115,1,60,1800,,"LINESTRING (-111.936672 33.425499 ,-111.934928 33.425439 )"
,East 5th Street,44,41,,1,1,0.101265115,1,60,1800,,"LINESTRING (-111.934928 33.425440 ,-111.936672 33.425499 )"
,South College Avenue,44,3640,,1,1,0.074254042,1,60,1800,,"LINESTRING (-111.934928 33.425440 ,-111.934981 33.424369 )"
,South College Avenue,3640,44,,1,1,0.074254042,1,60,1800,,"LINESTRING (-111.934980 33.424369 ,-111.934928 33.425440 )"
,South Stadium Drive,44,3580,,1,1,0.311226963,1,60,1800,,"LINESTRING (-111.934928 33.425439 ,-111.930426 33.423127 )"
,East 5th Street,44,41,,1,1,0.101265115,1,60,1800,,"LINESTRING (-111.934928 33.425440 ,-111.936672 33.425499 )"
,East 5th Street,41,44,,1,1,0.101265115,1,60,1800,,"LINESTRING (-111.936672 33.425499 ,-111.934928 33.425439 )"
,North Miller Road,60,3735,,1,1,0.008649508,1,60,1800,,"LINESTRING (-111.917954 33.440316 ,-111.917956 33.440441 )"
,North Miller Road,3735,60,,1,1,0.008649508,1,60,1800,,"LINESTRING (-111.917956 33.440441 ,-111.917954 33.440316 )"
,East Curry Road,60,658,,1,1,0.243074801,1,60,1800,,"LINESTRING (-111.917954 33.440316 ,-111.913745 33.440377 )"
,['North Miller Road'  'East Playa Del Norte Drive'],60,332,,1,1,0.692308648,1,60,1800,,"LINESTRING (-111.917954 33.440316 ,-111.924953 33.434548 )"
,['North Miller Road'  'East Playa Del Norte Drive'],332,60,,1,1,0.692308648,1,60,1800,,"LINESTRING (-111.924953 33.434548 ,-111.917954 33.440316 )"
,South Wilson Street,64,2965,,1,1,0.099034387,1,60,1800,,"LINESTRING (-111.945764 33.414638 ,-111.945764 33.416072 )"
,South Wilson Street,2965,64,,1,1,0.099034387,1,60,1800,,"LINESTRING (-111.945764 33.416072 ,-111.945764 33.414638 )"
,South Wilson Street,64,2397,,1,1,0.050498962,1,60,1800,,"LINESTRING (-111.945764 33.414638 ,-111.945798 33.413911 )"
,South Wilson Street,2397,64,,1,1,0.050498962,1,60,1800,,"LINESTRING (-111.945798 33.413911 ,-111.945764 33.414638 )"
,West 13th Street,64,65,,1,1,0.086669069,1,60,1800,,"LINESTRING (-111.945764 33.414639 ,-111.947267 33.414644 )"
,West 13th Street,65,64,,1,1,0.086669069,1,60,1800,,"LINESTRING (-111.947267 33.414644 ,-111.945764 33.414638 )"
,West 13th Street,64,1066,,1,1,0.085165347,1,60,1800,,"LINESTRING (-111.945764 33.414638 ,-111.944288 33.414633 )"
,West 13th Street,1066,64,,1,1,0.085165347,1,60,1800,,"LINESTRING (-111.944288 33.414634 ,-111.945764 33.414639 )"
,West 13th Street,65,64,,1,1,0.086669069,1,60,1800,,"LINESTRING (-111.947267 33.414644 ,-111.945764 33.414638 )"
,West 13th Street,64,65,,1,1,0.086669069,1,60,1800,,"LINESTRING (-111.945764 33.414639 ,-111.947267 33.414644 )"
,West Lakeside Drive,69,204,,1,1,0.136478308,1,60,1800,,"LINESTRING (-111.947341 33.430820 ,-111.945244 33.430764 )"
,West Lakeside Drive,204,69,,1,1,0.136478308,1,60,1800,,"LINESTRING (-111.945244 33.430765 ,-111.947341 33.430820 )"
